ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
compas	k§pa	compas	NOM	NOM	m			k_§|p_a_#	c_om|p_a_s	2.84	1.5
compassion	k§pasj§	compassion	NOM	NOM	f	s		k_§|p_a|s_j_§	c_om|p_a|ss_i_on	7.3	10.15
compassé	k§pase	compasser	VER	VER,ADJ	m	s	par:pas;	k_§|p_a|s_e	c_om|p_a|ss_é	0.34	0.0
compassé	k§pase	compassé	ADJ	VER,ADJ	m	s		k_§|p_a|s_e	c_om|p_a|ss_é	0.88	0.0
compassée	k§pase	compasser	VER	VER,ADJ	f	s	par:pas;	k_§|p_a|s_e_#	c_om|p_a|ss_é_e	0.07	0.0
compassée	k§pase	compassé	ADJ	VER,ADJ	f	s		k_§|p_a|s_e_#	c_om|p_a|ss_é_e	0.27	0.0
compassées	k§pase	compassé	ADJ	ADJ	f	p		k_§|p_a|s_e_#	c_om|p_a|ss_é_es	0.14	0.0
compassés	k§pase	compasser	VER	VER,ADJ	m	p	par:pas;	k_§|p_a|s_e_#	c_om|p_a|ss_é_s	0.07	0.0
compassés	k§pase	compassé	ADJ	VER,ADJ	m	p		k_§|p_a|s_e_#	c_om|p_a|ss_é_s	0.47	0.0
compati	k§pati	compatir	VER	VER	m	s	par:pas;	k_§|p_a|t_i	c_om|p_a|t_i	0.07	0.04
compatibilité	k§patibilite	compatibilité	NOM	NOM	f	s		k_§|p_a|t_i|b_i|l_i|t_e	c_om|p_a|t_i|b_i|l_i|t_é	0.0	0.4
compatible	k§patibl	compatible	ADJ	ADJ,NOM		s		k_§|p_a|t_i_b_l_#	c_om|p_a|t_i_b_l_e	1.62	1.25
compatible	k§patibl	compatible	NOM	ADJ,NOM	m	s		k_§|p_a|t_i_b_l_#	c_om|p_a|t_i_b_l_e	0.0	0.21
compatibles	k§patibl	compatible	ADJ	ADJ,NOM		p		k_§|p_a|t_i_b_l_#	c_om|p_a|t_i_b_l_es	0.47	1.27
compatibles	k§patibl	compatible	NOM	ADJ,NOM	m	p		k_§|p_a|t_i_b_l_#	c_om|p_a|t_i_b_l_es	0.0	0.03
compatie	k§pati	compatir	VER	VER	f	s	par:pas;	k_§|p_a|t_i_#	c_om|p_a|t_i_e	0.0	0.06
compatir	k§patiR	compatir	VER	VER			inf;	k_§|p_a|t_i_R	c_om|p_a|t_i_r	0.54	0.47
compatira	k§patiRa	compatir	VER	VER			ind:fut:3s;	k_§|p_a|t_i|R_a	c_om|p_a|t_i|r_a	0.0	0.02
compatirait	k§patiRE	compatir	VER	VER			cnd:pre:3s;	k_§|p_a|t_i|R_E	c_om|p_a|t_i|r_ait	0.0	0.03
compatirent	k§patiR	compatir	VER	VER			ind:pas:3p;	k_§|p_a|t_i_R_#	c_om|p_a|t_i_r_ent	0.07	0.0
compatis	k§pati	compatir	VER	VER	m	p	imp:pre:2s;ind:pre:1s;ind:pre:2s;par:pas;	k_§|p_a|t_i	c_om|p_a|t_is	0.34	2.07
compatissaient	k§patisE	compatir	VER	VER			ind:imp:3p;	k_§|p_a|t_i|s_E	c_om|p_a|t_i|ss_aient	0.07	0.0
compatissais	k§patisE	compatir	VER	VER			ind:imp:1s;ind:imp:2s;	k_§|p_a|t_i|s_E	c_om|p_a|t_i|ss_ais	0.2	0.05
compatissait	k§patisE	compatir	VER	VER			ind:imp:3s;	k_§|p_a|t_i|s_E	c_om|p_a|t_i|ss_ait	0.14	0.02
compatissant	k§patis@	compatissant	ADJ	VER,ADJ	m	s		k_§|p_a|t_i|s_@	c_om|p_a|t_i|ss_ant	1.35	1.01
compatissant	k§patis@	compatir	VER	VER,ADJ			par:pre;	k_§|p_a|t_i|s_@	c_om|p_a|t_i|ss_ant	0.27	0.04
compatissante	k§patis@t	compatissant	ADJ	ADJ	f	s		k_§|p_a|t_i|s_@_t_#	c_om|p_a|t_i|ss_an_t_e	0.88	0.39
compatissantes	k§patis@t	compatissant	ADJ	ADJ	f	p		k_§|p_a|t_i|s_@_t_#	c_om|p_a|t_i|ss_an_t_es	0.2	0.07
compatissants	k§patis@	compatissant	ADJ	ADJ	m	p		k_§|p_a|t_i|s_@_#	c_om|p_a|t_i|ss_an_ts	0.74	0.11
compatisse	k§patis	compatir	VER	VER			sub:pre:1s;sub:pre:3s;	k_§|p_a|t_i_s_#	c_om|p_a|t_i_ss_e	0.0	0.02
compatissent	k§patis	compatir	VER	VER			ind:pre:3p;	k_§|p_a|t_i_s_#	c_om|p_a|t_i_ss_ent	0.14	0.01
compatissez	k§patise	compatir	VER	VER			imp:pre:2p;ind:pre:2p;	k_§|p_a|t_i|s_e	c_om|p_a|t_i|ss_ez	0.14	0.1
compatissons	k§patis§	compatir	VER	VER			imp:pre:1p;ind:pre:1p;	k_§|p_a|t_i|s_§	c_om|p_a|t_i|ss_ons	0.07	0.14
compatit	k§pati	compatir	VER	VER			ind:pre:3s;ind:pas:3s;	k_§|p_a|t_i	c_om|p_a|t_it	0.54	0.41
compatriote	k§patRijOt	compatriote	NOM	NOM		s		k_§|p_a|t_R_ij|O_t_#	c_om|p_a|t_r_i|o_t_e	2.23	1.48
compatriotes	k§patRijOt	compatriote	NOM	NOM		p		k_§|p_a|t_R_ij|O_t_#	c_om|p_a|t_r_i|o_t_es	6.82	3.29
compendium	k§p5djOm	compendium	NOM	NOM	m	s		k_§|p_5|d_j_O_m	c_om|p_en|d_i_u_m	0.0	0.01
compendiums	k§p5djOm	compendium	NOM	NOM	m	p		k_§|p_5|d_j_O_m_#	c_om|p_en|d_i_u_m_s	0.07	0.0
compensa	k§p@sa	compenser	VER	VER			ind:pas:3s;	k_§|p_@|s_a	c_om|p_en|s_a	0.2	0.01
compensaient	k§p@sE	compenser	VER	VER			ind:imp:3p;	k_§|p_@|s_E	c_om|p_en|s_aient	0.54	0.01
compensais	k§p@sE	compenser	VER	VER			ind:imp:1s;	k_§|p_@|s_E	c_om|p_en|s_ais	0.07	0.0
compensait	k§p@sE	compenser	VER	VER			ind:imp:3s;	k_§|p_@|s_E	c_om|p_en|s_ait	1.08	0.04
compensant	k§p@s@	compenser	VER	VER			par:pre;	k_§|p_@|s_@	c_om|p_en|s_ant	0.41	0.02
compensateur	k§p@sat9R	compensateur	ADJ	ADJ	m	s		k_§|p_@|s_a|t_9_R	c_om|p_en|s_a|t_eu_r	0.0	0.05
